"Rec No"	"Log:Obj Id"	"Log:Set No"	"Log:Condition"	"Log:Retval"	"Log:Unconditional"	"Log:Action"	"Log:Source"	"Log:Csource"	"Log:Flag1"	"Log:Flag2"	"Log:Flag3"	"Log:Filler"	"Log:Exlong"	"Log:User"	"Log:Date"
         453	"I3100"	      4	"~A3100V = 4"	""Third Degree Felony""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"MEE"	"        72,907"
         454	"I3100"	      5	"~A3100V = 5"	""Second Degree Felony""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"MEE"	"        72,907"
         455	"I3100"	      6	"~A3100V = 6"	""First Degree Felony""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"MEE"	"        72,907"
         456	"I3100"	      7	"~A3100V = 7"	""Capital Offense in which the death penalty is sought""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"MEE"	"        72,907"
         457	"I3100"	      8	"~A3100V = 8"	""Capital Offense in which the death penalty is not sought""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"MEE"	"        72,907"
         458	"I3100"	      9	"~A3100V = 9"	""State Jail Felony""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"MEE"	"        72,907"
         459	"I9177"	      1	"~A9190V = 1"	""Social Security Administration""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"GC"	"        72,245"
         460	"I9177"	      2	"~A9190V = 2"	""Department of Veterans Affairs""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"GC"	"        72,245"
         461	"I9177"	      3	"~A9190V = 3"	""~P9188V""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"GC"	"        72,245"
         462	"D9194"	      1	"~A9189V = "N""	"E9194V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"GC"	"        72,245"
         463	"D9195"	      1	"~A9189V = "Y""	"E9195V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"GC"	"        72,245"
         464	"L0060"	      1	"LOOP() <= ~A9191V"		  0	"LOOP"	  1	  0	  0	  0	  0		             0	"LF"	"        72,021"
         466	"D9228"	      1	"~A3100V >= 4"	"E9228V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"LF"	"        72,021"
         467	"D9229"	      1	"~A3100V <= 3"	"E9229V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"LF"	"        72,021"
         468	"D9196"	      1	"~A9192V !INC 1 OR (~A9192V INC 1 AND ~A8022V != 1)"	"E9196V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"TAW"	"        72,805"
         469	"D9197"	      1	"~A9192V !INC 1 OR (~A9192V INC 1 AND ~A8022V != 2)"	"E9197V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"TAW"	"        72,805"
         470	"D9198"	      1	"~A9192V !INC 2"	"E9198V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"TAW"	"        72,805"
         471	"D9199"	      1	"~A9192V !INC 3"	"E9199V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"TAW"	"        72,805"
         476	"I9179"	      1	"~A0200V = 2"	""represent""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"HH"	"        72,770"
         477	"I9179"	      2	"~A0200V = 1"	""am""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"HH"	"        72,770"
         478	"I9180"	      2	"~A0200V = 2"	""~P8891V""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"HH"	"        72,770"
         479	"I9180"	      1	"~A0200V = 1"	""~P1408G""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"HH"	"        72,770"
         480	"D9232"	      1	"~A9098V !INC 1"	"E9232V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"LF"	"        72,021"
         481	"D9233"	      1	"~A9098V !INC 2"	"E9233V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"LF"	"        72,021"
         482	"D9234"	      1	"~A9098V !INC 3"	"E9234V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"LF"	"        72,021"
         483	"D9235"	      1	"~A9098V !INC 4"	"E9235V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"LF"	"        72,021"
         484	"D9236"	      1	"~A9098V !INC 5"	"E9236V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"LF"	"        72,021"
         485	"D9237"	      1	"~A9098V !INC 6"	"E9237V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"LF"	"        72,021"
         486	"D9238"	      1	"~A9098V !INC 7"	"E9238V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"LF"	"        72,021"
         487	"L0066"	      1	"LOOP() <= ~A9207V"		  0	"LOOP"	  1	  0	  0	  0	  0		             0	"CNS"	"        72,263"
         488	"L0067"	      1	"LOOP() <= ~A9202V"		  0	"LOOP"	  1	  0	  0	  0	  0		             0	"CNS"	"        72,263"
         489	"L0068"	      1	"LOOP() <= ~A9203V"		  0	"LOOP"	  1	  0	  0	  0	  0		             0	"CNS"	"        72,263"
         490	"L0069"	      1	"LOOP() <= ~A9204V"		  0	"LOOP"	  1	  0	  0	  0	  0		             0	"CNS"	"        72,263"
         491	"L0070"	      1	"LOOP() <= ~A9205V"		  0	"LOOP"	  1	  0	  0	  0	  0		             0	"CNS"	"        72,263"
         492	"L0071"	      1	"LOOP() <= ~A9206V"		  0	"LOOP"	  1	  0	  0	  0	  0		             0	"CNS"	"        72,263"
         493	"L0072"	      1	"LOOP() <= ~A9208V"		  0	"LOOP"	  1	  0	  0	  0	  0		             0	"LF"	"        72,021"
         498	"L0075"	      1	"LOOP() <= ~A9215V"		  0	"LOOP"	  1	  0	  0	  0	  0		             0	"LF"	"        72,023"
         499	"M5075"	      1		"LEFT(FORMAT(TOTAL(~P8811V,~P8838V),@N9.2))"	  1	"INSERT"	  1	  0	  0	  0	  0		             0	"GC"	"        72,248"
         501	"M5076"	      1		"LEFT(FORMAT(TOTAL(~P8798V,~P8798V,1,~L0075V),@N9.2))"	  1	"INSERT"	  1	  0	  0	  0	  0		             0	"MEE"	"        72,796"
         503	"M5079"	      1		"FORMAT(~P8801V + ~P8802V + ~P8803V + ~P8804V + ~P8805V,@N$9.2B)"	  1	"INSERT"	  1	  0	  0	  0	  0		             0	"LF"	"        72,023"
         504	"M5081"	      1		"FORMAT((~M5079V - ~M5081V),@N$9.2B)"	  1	"INSERT"	  1	  0	  0	  0	  0		             0	"LF"	"        72,023"
         505	"M5083"	      1		"LEFT(FORMAT(TOTAL(~P8801V, ~P8805V,-1),@N9.2))"	  1	"INSERT"	  1	  0	  0	  0	  0		             0	"TAW"	"        72,898"
         506	"M5084"	      1		"LEFT(FORMAT(TOTAL(~P8806V, ~P8810V,-1),@N9.2))"	  1	"INSERT"	  1	  0	  0	  0	  0		             0	"TAW"	"        72,898"
         507	"M5085"	      1		"LEFT(FORMAT(~M5083V - ~M5084V,@N9.2))"	  1	"INSERT"	  1	  0	  0	  0	  0		             0	"TR"	"        82,268"
         531	"M5092"	      1	"~M5087V < ~M5085V"	"LEFT(FORMAT(~M5085V - ~M5087V,@N9.2))"	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"MEE"	"        72,796"
         532	"D2034"	      1	"~A4110V != 1"	"E2034V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"MEE"	"        72,906"
         533	"D2036"	      1	"~A4110V != 2"	"E2036V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"MEE"	"        72,906"
         534	"D0001"	      1	"~A0002V != 1"	"E0001V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"LWW"	"        72,123"
         535	"D0002"	      1	"~A0002V != 2"	"E0002V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"LWW"	"        72,123"
         536	"D0003"	      1	"~A0002V != 3"	"E0003V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"LWW"	"        72,123"
         538	"A9028"	      1	"~A9027V = 2"		  0	"SKIP"	  1	  0	  0	  0	  0		             0	"LWW"	"        72,124"
         539	"P9008"	      1	"~A8001V = 1"		  0	"SKIP"	  1	  0	  0	  0	  0		             0	"LWW"	"        72,124"
         540	"P9009"	      1	"~A8001V = 1"		  0	"SKIP"	  1	  0	  0	  0	  0		             0	"LWW"	"        72,124"
         541	"M0100"	      1		"LEFT(FORMAT(~P9008V * ~P9009V,@N9.2))"	  1	"INSERT"	  1	  0	  0	  0	  0		             0	"LWW"	"        72,124"
         542	"I0040"	      1	"~A9112V = 1"	""District ""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"LWW"	"        72,124"
         543	"I0040"	      2	"~A9112V = 2"	""County ""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"LWW"	"        72,124"
         545	"A9912"	      1	"~A9913V !INC 4"		  0	"SKIP"	  1	  0	  0	  0	  0		             0	"MEE"	"        72,774"
         546	"A9911"	      1	"~A9929V = "N""	0	  0	"ASSIGN"	  1	  0	  0	  0	  0		             0	"GC"	"        72,202"
         547	"M0010"	      1	"~A0075V = 1"	""District Attorney's Office""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"LWW"	"        72,126"
         548	"M0010"	      2	"~A0075V = 2"	""County Attorney's Office""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"LWW"	"        72,126"
         549	"M0010"	      3	"~A0075V = 3"	""City Attorney's Office""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"LWW"	"        72,126"
         550	"M0012"	      2		"CAPS(~P9005G) & " County""	  1	"INSERT"	  1	  0	  0	  0	  0		             0	"LMM"	"        72,265"
         551	"M0016"	      1	"~A9200V = 1"	""certified mail, return receipt requested""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"RS"	"        72,285"
         552	"M0016"	      2	"~A9200V = 2"	""hand delivery""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"RS"	"        72,285"
         553	"M0016"	      3	"~A9200V = 3"	""facsimile transmission to " & ~P9581V"	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"TAW"	"        72,906"
         560	"D0206"	      1	"~A9993V = "Y""	"E0206V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"LWW"	"        72,126"
         561	"D0210"	      1	"~A6010V = "Y""	"E0210V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"LWW"	"        72,126"
         562	"D0212"	      1	"~A6010V = "N""	"E0212V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"LWW"	"        72,126"
         563	"P9122"	      1		"FORMAT(TODAY(),@D4B)"	  1	"DEFAULT"	  1	  0	  0	  0	  0		             0	"GC"	"        72,185"
         565	"P9121"	      1		"FORMAT(TODAY(),@D4B)"	  1	"DEFAULT"	  1	  0	  0	  0	  0		             0	"GC"	"        72,185"
         566	"P9994"	      1		"FORMAT(TODAY(),@D4B)"	  1	"DEFAULT"	  1	  0	  0	  0	  0		             0	"GC"	"        72,186"
         571	"P9143"	      1		"FORMAT(TODAY(),@D4B)"	  1	"DEFAULT"	  1	  0	  0	  0	  0		             0	"GC"	"        72,193"
         572	"P9125"	      1		"FORMAT(TODAY(),@D4B)"	  1	"DEFAULT"	  1	  0	  0	  0	  0		             0	"GC"	"        72,193"
         573	"P9837"	      2		"FORMAT(TODAY(),@D4B)"	  1	"DEFAULT"	  1	  0	  0	  0	  0		             0	"GC"	"        72,193"
         574	"P9652"	      1		"FORMAT(TODAY(),@D4B)"	  1	"DEFAULT"	  1	  0	  0	  0	  0		             0	"GC"	"        72,193"
         575	"P9890"	      1		"FORMAT(TODAY(),@D4B)"	  1	"DEFAULT"	  1	  0	  0	  0	  0		             0	"GC"	"        72,193"
         576	"D9581"	      1	"~A9220V != 3"	"E9581V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"amd"	"        78,857"
         577	"M9174"	      1		"SPELLNUM(~P3252V,"ACDTH")"	  1	"INSERT"	  1	  0	  0	  0	  0		             0	"MEE"	"        72,895"
         578	"M9990"	      1		"UPPER(~P1408G)"	  1	"INSERT"	  1	  0	  0	  0	  0		             0	"GC"	"        72,200"
         579	"L0500"	      1	"LOOP() <= ~A0005V"		  0	"LOOP"	  1	  0	  0	  0	  0		             0	"GC"	"        72,200"
         580	"A9998"	      1	"(SEL:DOC_NO = "QOC0072" OR SEL:DOC_NO = "QOC0073") AND ~A0200V = 2"		  0	"SKIP"	  1	  0	  0	  0	  0		             0	"TAW"	"        72,784"
         581	"D1073"	      1	"~A9908V = 2"	"E1073V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"GC"	"        72,202"
         582	"P9965"	      1		"FORMAT(TODAY(),@D4B)"	  1	"DEFAULT"	  1	  0	  0	  0	  0		             0	"GC"	"        72,202"
         583	"M9925"	      1		"TOTAL(~P9542V, ~P9542V, 1, ~L0013V)"	  1	"INSERT"	  1	  0	  0	  0	  0		             0	"GC"	"        72,203"
         584	"M9011"	      1		"TOTAL(~P9111V, ~P9111V, 1, ~L0022V)"	  1	"INSERT"	  1	  0	  0	  0	  0		             0	"GC"	"        72,203"
         585	"M9178"	      1		"TOTAL(~P8899V,~P8899V,1,~L0060V)"	  1	"INSERT"	  1	  0	  0	  0	  0		             0	"KF"	"        72,284"
         588	"P0100"	      1	"~P9004V != """	"~P9004V"	  0	"DEFAULT"	  1	  0	  0	  0	  0		             0	"GC"	"        72,207"
         589	"P0100"	      2	"~P9000V != """	"~P9000V"	  0	"DEFAULT"	  1	  0	  0	  0	  0		             0	"GC"	"        72,207"
         590	"P0100"	      3	"~P5604G != """	"~P5604G"	  0	"DEFAULT"	  1	  0	  0	  0	  0		             0	"GC"	"        72,207"
         591	"P0100"	      4	"~P8742V != """	"~P8742V"	  0	"DEFAULT"	  1	  0	  0	  0	  0		             0	"GC"	"        72,207"
         592	"I9911"	      9	"~A3100V = 9"	""State Jail Felony""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"GC"	"        72,229"
         593	"L9157"	      1	"LOOP() <= ~A9157V"		  0	"LOOP"	  1	  0	  0	  0	  0		             0	"GC"	"        72,207"
         594	"I9996"	      2	"~A9100V = 2"	""Cause ~P5604G, styled 'The State of Texas v. ~P1408G' in the County Court, ~P9005G County, Texas""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"GC"	"        72,207"
         595	"I9996"	      3	"~A9100V = 3"	""Cause ~P5604G, styled 'The State of Texas v. ~P1408G' in the County Court At Law, Number ~P9020V, ~P9005G County, Texas""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"GC"	"        72,207"
         596	"I9996"	      6	"~A9100V = 6"	""Cause ~P5604G, styled 'The State of Texas v. ~P1408G' before the Justice of the Peace, Precinct Number ~P9777V, ~P9005G County, Texas""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"WM"	"        74,453"
         597	"I9996"	      7	"~A9100V = 7"	""Cause ~P5604G, styled 'The State of Texas v. ~P1408G' before the Magistrate, ~P9979V, ~P9005G County, Texas""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"WM"	"        74,453"
         598	"I9996"	      8	"~A9100V = 8"	""Cause ~P5604G, styled 'The State of Texas v. ~P1408G' in the Municipal Court, ~P9979V, Texas""	  0	"INSERT"	  1	  0	  0	  0	  0		             0	"WM"	"        74,453"
         600	"P8876"	      1		"FORMAT(TODAY(),@D4B)"	  1	"DEFAULT"	  1	  0	  0	  0	  0		             0	"GC"	"        72,209"
         601	"A6100"	      2	"~A9100V !> 3"	"~A9100V"	  0	"DEFAULT"	  1	  0	  0	  0	  0		             0	"GC"	"        72,223"
         609	"I6100"	      1	"~A2110V = "Y" AND ~A6102V = 1"	""caption1""	  0	"IMPORT"	  2	  0	  0	  0	  0		             0	"TAW"	"        72,691"
         610	"I6100"	      2	"~A2110V = "Y" AND ~A6102V = 2"	""caption9""	  0	"IMPORT"	  2	  0	  0	  0	  0		             0	"TAW"	"        72,691"
         611	"I6100"	      3	"~A2110V = "Y" AND ~A6102V = 3"	""caption2""	  0	"IMPORT"	  2	  0	  0	  0	  0		             0	"TAW"	"        72,691"
         614	"P9000"	      1	"~P5604G != """	"~P5604G"	  0	"DEFAULT"	  1	  0	  0	  0	  0		             0	"GC"	"        72,227"
         615	"I0711"	      1		""caption1""	  1	"IMPORT"	  2	  0	  0	  0	  0		             0	"GC"	"        72,227"
         620	"D0932"	      1	"~AD005V !INC 1"	"E0932V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"TG"	"        74,399"
         621	"D0933"	      1	"~AD005V !INC 2"	"E0933V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"TG"	"        74,399"
         622	"D0934"	      1	"~AD005V !INC 3"	"E0934V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"TG"	"        74,399"
         623	"D0935"	      1	"~AD005V !INC 4"	"E0935V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"TG"	"        74,399"
         624	"D0936"	      1	"~AD005V !INC 5"	"E0936V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"TG"	"        74,399"
         625	"D0937"	      1	"~AD005V !INC 6"	"E0937V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"TG"	"        74,399"
         626	"D0938"	      1	"~AD005V !INC 7"	"E0938V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"TG"	"        74,399"
         627	"D0939"	      1	"~AD005V !INC 8"	"E0939V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"TG"	"        74,399"
         628	"D0940"	      1	"~AD005V !INC 9"	"E0940V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"TG"	"        74,399"
         629	"D0941"	      1	"~A9990V = 1 AND ~AD005V !INC 10"	"E0941V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"TG"	"        74,399"
         630	"D0942"	      1	"~AD005V !INC 11"	"E0942V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"TG"	"        74,399"
         631	"D0941"	      2	"~A9990V = 2 AND ~AD000V !INC 10"	"E0941V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"TG"	"        74,399"
         632	"A9115"	      1	"~A9119V = 2"	0	  0	"ASSIGN"	  1	  0	  0	  0	  0		             0	"GC"	"        72,228"
         633	"A9118"	      1	"~A9122V = 2"	0	  0	"ASSIGN"	  1	  0	  0	  0	  0		             0	"GC"	"        72,228"
         634	"A9117"	      1	"~A9121V = 2"	0	  0	"ASSIGN"	  1	  0	  0	  0	  0		             0	"GC"	"        72,228"
         637	"A9172"	      1	"~AD020V !INC 2"	0	  0	"ASSIGN"	  1	  0	  0	  0	  0		             0	"TG"	"        74,405"
         638	"A9173"	      1	"~AD020V !INC 3"	0	  0	"ASSIGN"	  1	  0	  0	  0	  0		             0	"TG"	"        74,405"
         639	"A9174"	      1	"~AD020V !INC 4"	0	  0	"ASSIGN"	  1	  0	  0	  0	  0		             0	"TG"	"        74,405"
         640	"A9175"	      1	"~AD020V !INC 5"	0	  0	"ASSIGN"	  1	  0	  0	  0	  0		             0	"TG"	"        74,405"
         641	"D0974"	      1	"~AB034V !INC 1"	"E0974V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"AL"	"        74,456"
         642	"D0975"	      1	"~AB034V !INC 2"	"E0975V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"AL"	"        74,456"
         643	"D0976"	      1	"~AB034V !INC 3"	"E0976V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"AL"	"        74,456"
         644	"D0977"	      1	"~AB034V !INC 4"	"E0977V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"AL"	"        74,456"
         645	"D0978"	      1	"~AB034V !INC 5"	"E0978V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"AL"	"        74,456"
         646	"P3303"	      1	"~P9005G != """	"~P9005G"	  0	"DEFAULT"	  1	  0	  0	  0	  0		             0	"GC"	"        72,229"
         647	"D0984"	      1	"~AB034V INC 1"	"E0984V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"AL"	"        74,456"
         648	"D0985"	      1	"~AB034V INC 2"	"E0985V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"AL"	"        74,456"
         649	"D0900"	      1	"~AD010V !INC 1"	"E0900V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"TG"	"        74,400"
         650	"D0901"	      1	"~AD010V !INC 2"	"E0901V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"TG"	"        74,400"
         651	"D0902"	      1	"~AD010V !INC 3"	"E0902V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"TG"	"        74,400"
         652	"D0903"	      1	"~AD010V !INC 4"	"E0903V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"TG"	"        74,400"
         653	"D0904"	      1	"~AD010V !INC 5"	"E0904V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"TG"	"        74,400"
         654	"D0905"	      1	"~AD010V !INC 6"	"E0905V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"TG"	"        74,400"
         655	"D0906"	      1	"~AD010V !INC 7"	"E0906V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"TG"	"        74,400"
         656	"D0907"	      1	"~AD010V !INC 8"	"E0907V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"TG"	"        74,400"
         657	"D0908"	      1	"~AD010V !INC 9"	"E0908V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"TG"	"        74,400"
         658	"D0909"	      1	"~A9990V = 1 AND ~AD010V !INC 10"	"E0909V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"TG"	"        74,400"
         659	"D0909"	      2	"~A9990V = 2 AND ~AD015V !INC 10"	"E0909V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"TG"	"        74,401"
         660	"D0910"	      1	"~AD010V !INC 11"	"E0910V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"TG"	"        74,400"
         661	"D0800"	      1	"~AD010V INC 1"	"E0800V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"TG"	"        74,400"
         662	"D0801"	      1	"~AD010V INC 2"	"E0801V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"TG"	"        74,400"
         663	"D0802"	      1	"~AD010V INC 3"	"E0802V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"TG"	"        74,400"
         664	"D0803"	      1	"~AD010V INC 4"	"E0803V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"TG"	"        74,400"
         665	"D0804"	      1	"~AD010V INC 5"	"E0804V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"TG"	"        74,400"
         666	"D0805"	      1	"~AD010V INC 6"	"E0805V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"TG"	"        74,400"
         667	"D0806"	      1	"~AD010V INC 7"	"E0806V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"TG"	"        74,400"
         668	"D0807"	      1	"~AD010V INC 8"	"E0807V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"TG"	"        74,400"
         669	"D0808"	      1	"~AD010V INC 9"	"E0808V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"TG"	"        74,400"
         670	"D0809"	      1	"~A9990V = 1 AND ~AD010V INC 10"	"E0809V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"TG"	"        74,400"
         671	"D0809"	      2	"~A9990V = 2 AND ~AD015V INC 10"	"E0809V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"TG"	"        74,401"
         672	"D0810"	      1	"~AD010V INC 11"	"E0810V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"TG"	"        74,400"
         673	"D0831"	      1	"~AD015V !INC 1"	"E0831V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"TG"	"        74,401"
         674	"D0832"	      1	"~AD015V !INC 2"	"E0832V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"TG"	"        74,401"
         675	"D0833"	      1	"~AD015V !INC 3"	"E0833V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"TG"	"        74,401"
         676	"D0834"	      1	"~AD015V !INC 4"	"E0834V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"TG"	"        74,401"
         677	"D0835"	      1	"~AD015V !INC 5"	"E0835V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"TG"	"        74,401"
         678	"D0836"	      1	"~AD015V !INC 6"	"E0836V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"TG"	"        74,401"
         679	"D0837"	      1	"~AD015V !INC 7"	"E0837V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"TG"	"        74,401"
         680	"D0838"	      1	"~AD015V !INC 8"	"E0838V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"TG"	"        74,401"
         681	"D0839"	      1	"~AD015V !INC 9"	"E0839V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"TG"	"        74,401"
         682	"D0841"	      1	"~AD015V INC 1"	"E0841V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"TG"	"        74,401"
         683	"D0842"	      1	"~AD015V INC 2"	"E0842V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"TG"	"        74,401"
         684	"D0843"	      1	"~AD015V INC 3"	"E0843V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"TG"	"        74,401"
         685	"D0844"	      1	"~AD015V INC 4"	"E0844V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"TG"	"        74,401"
         686	"D0845"	      1	"~AD015V INC 5"	"E0845V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"TG"	"        74,401"
         687	"D0846"	      1	"~AD015V INC 6"	"E0846V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"TG"	"        74,401"
         688	"D0847"	      1	"~AD015V INC 7"	"E0847V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"TG"	"        74,401"
         689	"D0848"	      1	"~AD015V INC 8"	"E0848V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"TG"	"        74,401"
         690	"D0849"	      1	"~AD015V INC 9"	"E0849V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"TG"	"        74,401"
         691	"D0920"	      1	"~AD010V = "" AND ~AD015V = """	"E0920V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"TG"	"        74,401"
         692	"D0922"	      1	"~AD010V != "" OR ~AD015V != """	"E0922V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"TG"	"        74,401"
         694	"D0130"	      1	"~A0133V !INC 1"	"E0130V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"GC"	"        72,231"
         695	"D0131"	      1	"~A0133V !INC 2"	"E0131V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"GC"	"        72,231"
         696	"D0132"	      1	"~A0133V !INC 3"	"E0132V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"GC"	"        72,231"
         697	"D0133"	      1	"~A0133V !INC 4"	"E0133V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"GC"	"        72,231"
         701	"D0247"	      1	"~A0247V != 1"	"E0247V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"GC"	"        72,235"
         702	"D0249"	      1	"~A0247V != 2"	"E0249V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"GC"	"        72,235"
         703	"P9501"	      1		"FORMAT(TODAY(),@D4B)"	  1	"DEFAULT"	  1	  0	  0	  0	  0		             0	"GC"	"        72,235"
         704	"P9172"	      1		"FORMAT(TODAY(),@D4B)"	  1	"DEFAULT"	  1	  0	  0	  0	  0		             0	"GC"	"        72,235"
         705	"D0197"	      1	"~A0190V = "N""	"E0197V"	  0	"DELETE"	  1	  0	  0	  0	  0		             0	"GC"	"        72,235"
